Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index,Students_Attendance,Target
7,70,Yes,9,6,65,58,Dropout
6,75,Yes,4,1,63,45,Graduate
3,83,Yes,4,1,63,64,Graduate
6,72,No,5,4,58,70,Graduate
6,72,No,5,8,62,48,Graduate
5,78,No,6,4,61,59,Dropout
4,57,Yes,6,7,40,49,Graduate
1,62,No,6,7,39,76,Graduate
6,99,Yes,6,4,89,66,Graduate
2,62,No,9,7,40,52,Graduate
3,54,No,9,7,35,80,Dropout
8,65,No,4,4,55,41,Graduate
6,69,No,5,4,60,89,Graduate
3,64,No,5,3,45,60,Graduate
7,84,No,7,0,76,72,Graduate
4,55,Yes,5,8,38,63,Graduate
9,78,Yes,5,1,73,92,Graduate
5,87,Yes,8,0,72,83,Graduate
3,84,Yes,8,5,68,81,Graduate
2,53,Yes,7,4,27,73,Graduate
2,56,No,6,0,33,99,Graduate
3,51,Yes,7,6,28,48,Graduate
2,68,Yes,7,6,46,41,Graduate
4,71,Yes,4,2,52,94,Graduate
2,95,Yes,9,7,72,95,Graduate
9,63,Yes,5,5,58,69,Graduate
2,91,Yes,4,3,69,61,Dropout
9,52,Yes,9,9,54,85,Graduate
6,95,Yes,5,9,85,50,Graduate
1,59,Yes,7,9,33,94,Graduate
4,54,No,5,2,33,82,Graduate
1,95,Yes,6,0,67,56,Graduate
6,92,Yes,6,1,80,75,Graduate
4,43,No,7,1,25,52,Graduate
3,93,No,8,4,76,46,Graduate
3,73,Yes,6,3,53,55,Graduate
9,67,Yes,7,1,63,72,Graduate
6,89,Yes,4,8,75,84,Dropout
9,41,No,8,6,38,40,Graduate
5,96,Yes,6,7,79,50,Graduate
2,86,No,7,7,63,45,Graduate
8,69,No,7,1,60,59,Graduate
5,65,No,4,4,49,74,Graduate
2,90,No,4,2,66,83,Graduate
4,86,No,8,9,71,76,Graduate
9,65,Yes,9,8,66,80,Graduate
4,59,Yes,6,8,41,65,Graduate
4,81,No,7,5,67,97,Graduate
2,67,No,8,3,46,51,Graduate
6,95,No,8,7,86,69,Graduate
2,59,No,4,4,37,67,Graduate
7,50,Yes,7,2,42,66,Dropout
3,97,No,5,7,77,81,Graduate
3,49,No,9,5,32,58,Graduate
5,62,Yes,9,4,47,44,Graduate
3,76,Yes,4,0,54,97,Graduate
2,80,Yes,7,2,60,44,Graduate
9,91,Yes,8,6,89,80,Dropout
2,58,No,9,2,34,66,Graduate
2,84,No,8,0,59,67,Graduate
8,57,No,6,7,52,65,Graduate
9,88,No,5,6,84,66,Graduate
7,66,No,4,4,57,91,Graduate
3,45,No,9,9,30,88,Dropout
9,49,No,6,4,47,81,Dropout
3,41,No,6,5,15,60,Dropout
5,63,No,5,6,49,40,Graduate
9,77,Yes,4,2,74,93,Graduate
3,67,No,4,3,45,67,Graduate
7,67,Yes,8,0,61,87,Graduate
1,92,Yes,4,6,67,97,Graduate
4,84,Yes,6,9,64,97,Dropout
4,89,Yes,8,1,73,54,Graduate
7,78,No,4,6,68,94,Graduate
8,41,Yes,5,5,33,56,Graduate
1,85,Yes,6,3,60,65,Graduate
5,44,No,7,1,30,59,Graduate
7,89,Yes,5,6,82,64,Graduate
4,50,No,5,6,33,52,Graduate
4,49,No,4,4,28,72,Graduate
4,82,No,8,8,64,64,Graduate
6,98,No,8,2,88,47,Graduate
7,41,Yes,6,8,35,44,Graduate
2,54,No,4,4,30,45,Graduate
5,78,Yes,8,1,60,62,Graduate
4,80,Yes,9,8,66,91,Dropout
3,76,No,7,0,52,69,Graduate
7,46,Yes,9,0,39,53,Graduate
6,59,No,4,6,45,93,Dropout
7,73,Yes,4,2,64,62,Graduate
5,74,Yes,8,7,66,50,Graduate
6,73,Yes,5,6,61,70,Graduate
5,92,Yes,4,6,76,45,Graduate
7,61,No,5,0,49,50,Graduate
2,70,No,6,0,43,52,Graduate
5,62,Yes,6,1,45,51,Graduate
6,58,Yes,8,1,49,93,Graduate
6,43,Yes,6,4,27,41,Graduate
5,63,Yes,9,8,50,92,Graduate
7,59,No,9,6,52,74,Graduate
8,78,Yes,9,1,72,94,Graduate
7,67,Yes,8,4,62,75,Graduate
5,93,Yes,8,4,80,56,Graduate
1,78,No,9,7,53,67,Graduate
5,56,Yes,5,8,42,67,Dropout
2,58,No,9,7,37,61,Graduate
5,93,No,5,1,77,77,Graduate
5,87,Yes,6,3,73,46,Dropout
2,74,Yes,5,1,46,54,Graduate
5,71,Yes,4,5,54,71,Graduate
4,86,No,7,3,70,50,Graduate
1,85,No,4,6,60,63,Dropout
3,86,Yes,4,1,67,42,Graduate
1,85,No,8,8,58,69,Dropout
5,78,Yes,7,4,63,45,Dropout
4,96,Yes,8,0,83,97,Graduate
7,74,Yes,5,2,64,41,Dropout
5,69,Yes,9,3,57,53,Dropout
4,56,Yes,5,2,45,80,Graduate
2,81,Yes,7,5,61,57,Graduate
4,86,No,6,5,68,90,Graduate
2,68,No,5,9,45,83,Graduate
8,45,No,4,6,39,70,Dropout
3,99,Yes,7,8,77,52,Graduate
9,56,Yes,7,9,55,65,Graduate
4,56,Yes,5,8,38,83,Dropout
6,53,No,5,6,40,51,Dropout
5,63,Yes,8,0,49,57,Dropout
1,96,No,8,2,74,48,Graduate
9,89,Yes,4,4,86,88,Graduate
1,96,No,7,9,72,60,Graduate
8,76,Yes,6,5,72,87,Graduate
9,79,Yes,6,5,77,88,Graduate
9,78,No,7,4,76,92,Dropout
1,94,No,4,5,67,95,Dropout
2,71,No,8,8,52,79,Dropout
1,75,Yes,8,0,52,82,Graduate
2,89,No,8,0,67,63,Graduate
8,76,No,6,8,66,73,Graduate
5,87,Yes,6,7,74,47,Graduate
7,53,Yes,4,8,40,83,Graduate
2,66,No,6,6,44,92,Graduate
8,98,Yes,5,9,97,72,Graduate
6,58,No,6,5,48,62,Graduate
8,70,No,8,8,65,52,Dropout
1,85,No,4,1,57,93,Graduate
1,48,Yes,7,3,19,92,Dropout
7,77,No,7,1,68,88,Graduate
8,56,No,4,5,48,53,Graduate
3,58,Yes,5,0,34,53,Dropout
5,83,No,7,6,67,55,Dropout
1,43,No,8,6,15,88,Graduate
7,87,No,7,6,83,77,Graduate
5,96,Yes,7,3,83,97,Dropout
8,50,No,8,7,46,99,Graduate
8,61,Yes,6,4,57,78,Graduate
9,43,Yes,5,1,42,65,Graduate
7,56,No,8,4,51,65,Graduate
1,47,No,8,9,24,40,Graduate
3,85,Yes,9,8,64,71,Dropout
8,98,No,4,9,94,96,Dropout
3,73,No,5,0,50,54,Graduate
8,50,Yes,6,1,41,91,Graduate
1,70,No,9,9,45,60,Graduate
5,50,No,8,7,37,57,Graduate
4,95,Yes,9,4,75,69,Dropout
5,93,No,6,8,80,99,Graduate
8,95,Yes,9,5,94,97,Graduate
4,77,Yes,9,7,62,52,Graduate
4,92,No,9,0,73,63,Graduate
3,60,Yes,8,8,43,69,Graduate
7,85,No,8,8,78,41,Graduate
3,69,No,4,2,51,58,Dropout
3,49,Yes,7,0,24,86,Graduate
5,65,Yes,5,7,46,83,Graduate
5,66,Yes,4,7,51,86,Graduate
6,47,Yes,6,8,35,64,Graduate
8,78,Yes,9,5,75,89,Graduate
6,47,Yes,8,8,38,53,Graduate
1,99,No,9,9,79,45,Graduate
8,47,No,8,8,42,51,Graduate
8,94,Yes,5,3,89,59,Graduate
9,73,No,4,4,66,62,Dropout
9,98,Yes,4,5,100,69,Graduate
2,55,Yes,6,5,34,69,Graduate
2,80,No,4,9,59,77,Graduate
3,52,No,4,1,28,97,Graduate
1,62,Yes,7,3,39,69,Graduate
4,51,Yes,5,8,36,80,Graduate
4,66,Yes,9,6,52,69,Graduate
9,61,No,4,8,57,96,Graduate
9,71,Yes,6,5,66,97,Graduate
9,96,Yes,9,6,95,75,Graduate
7,88,No,8,8,79,88,Graduate
2,66,No,4,3,42,73,Graduate
5,41,No,4,8,23,55,Graduate
4,84,Yes,9,2,67,63,Graduate
8,72,Yes,8,7,64,53,Graduate
2,65,No,7,2,43,65,Dropout
6,67,Yes,5,2,56,47,Dropout
5,58,Yes,7,2,43,53,Dropout
2,82,No,6,8,55,70,Graduate
1,44,No,9,9,16,41,Dropout
8,72,Yes,4,2,65,87,Graduate
2,59,No,7,5,38,43,Graduate
7,69,No,5,3,57,40,Graduate
9,84,Yes,6,1,83,94,Graduate
9,47,Yes,7,2,47,59,Dropout
8,77,Yes,4,4,71,98,Graduate
9,56,Yes,5,9,56,53,Dropout
2,83,Yes,4,3,57,79,Graduate
6,40,Yes,4,4,23,64,Graduate
4,42,No,6,0,27,99,Dropout
4,85,No,5,3,65,64,Graduate
5,65,No,8,9,54,42,Graduate
3,70,Yes,4,2,50,44,Graduate
1,47,Yes,5,1,23,77,Dropout
8,82,Yes,4,6,77,93,Graduate
5,98,Yes,7,9,83,65,Graduate
3,85,Yes,7,8,66,79,Graduate
7,47,No,5,0,38,77,Graduate
7,74,Yes,6,6,65,77,Graduate
1,78,No,8,0,54,43,Graduate
9,67,Yes,7,4,65,46,Graduate
2,90,No,6,0,68,69,Graduate
5,43,No,8,2,31,69,Graduate
5,96,No,7,7,83,95,Graduate
8,55,No,8,3,49,58,Dropout
8,52,No,9,0,45,78,Dropout
7,59,No,4,0,46,74,Graduate
7,90,No,5,7,85,79,Dropout
6,44,Yes,7,7,33,72,Graduate
6,94,Yes,7,3,83,72,Graduate
9,76,No,4,3,71,53,Dropout
6,59,Yes,7,9,49,77,Graduate
2,63,Yes,7,1,39,49,Graduate
2,75,No,9,1,51,96,Dropout
5,73,Yes,7,5,57,67,Graduate
4,97,No,7,7,81,53,Dropout
2,84,Yes,7,6,65,75,Dropout
3,87,No,6,6,66,77,Dropout
7,93,Yes,7,2,86,55,Dropout
8,73,No,4,1,66,99,Graduate
6,58,Yes,9,9,50,60,Graduate
5,56,Yes,7,6,46,67,Graduate
1,44,Yes,8,3,20,72,Graduate
8,64,No,9,0,58,45,Graduate
3,57,No,9,0,38,80,Graduate
6,99,Yes,8,3,91,54,Dropout
3,94,Yes,4,4,77,83,Graduate
7,92,No,6,4,83,42,Graduate
7,89,Yes,4,0,79,82,Graduate
9,47,Yes,6,2,50,86,Dropout
5,66,No,5,5,51,74,Graduate
8,54,No,8,9,49,53,Graduate
8,84,Yes,9,6,79,41,Graduate
1,52,No,9,0,26,68,Graduate
5,55,Yes,9,7,42,43,Graduate
3,61,Yes,8,3,42,65,Graduate
1,59,No,8,8,35,90,Graduate
4,52,Yes,6,5,31,51,Graduate
8,59,No,9,0,50,41,Graduate
3,41,No,4,1,18,56,Graduate
2,74,Yes,6,2,50,74,Graduate
9,86,No,9,1,82,49,Graduate
5,94,Yes,8,9,78,87,Graduate
7,58,No,8,6,53,61,Graduate
2,84,Yes,8,0,65,80,Graduate
9,76,No,9,8,76,82,Graduate
9,97,Yes,8,1,94,60,Graduate
4,93,Yes,5,3,79,54,Graduate
4,45,No,8,7,27,74,Graduate
6,53,Yes,9,2,43,87,Dropout
6,43,Yes,6,8,30,60,Graduate
1,61,Yes,8,6,37,60,Dropout
9,90,Yes,7,9,90,60,Dropout
2,94,Yes,5,2,68,99,Graduate
5,78,Yes,9,2,64,83,Graduate
9,75,No,8,4,73,71,Graduate
4,73,No,7,4,53,94,Graduate
3,66,No,9,9,46,44,Graduate
7,46,No,6,4,37,78,Graduate
6,42,Yes,5,8,29,48,Graduate
8,86,Yes,8,8,80,92,Graduate
3,72,No,6,5,52,57,Graduate
5,41,Yes,9,6,29,60,Graduate
4,81,No,7,9,70,47,Dropout
4,55,Yes,9,7,40,83,Graduate
4,64,Yes,9,8,49,91,Graduate
8,99,No,5,5,92,73,Graduate
6,54,Yes,8,7,46,49,Dropout
3,63,No,6,1,42,90,Graduate
5,54,No,5,9,41,80,Graduate
6,70,No,7,7,60,96,Dropout
5,53,Yes,8,1,41,63,Graduate
6,93,Yes,5,7,83,79,Graduate
8,53,No,7,1,43,63,Dropout
7,45,Yes,7,2,36,95,Graduate
5,53,No,6,6,38,71,Graduate
6,56,No,9,8,47,95,Graduate
4,57,Yes,7,2,40,72,Graduate
9,59,No,7,4,59,77,Graduate
4,90,Yes,9,8,76,83,Dropout
1,56,Yes,4,6,31,96,Graduate
7,55,Yes,7,1,44,95,Dropout
7,79,No,8,4,71,90,Dropout
4,78,No,5,4,59,98,Graduate
3,91,Yes,9,8,69,88,Graduate
8,71,Yes,9,1,63,73,Graduate
5,99,No,9,0,87,50,Graduate
7,83,Yes,8,3,77,70,Graduate
4,48,Yes,9,3,31,57,Dropout
4,66,No,8,0,47,62,Dropout
8,85,No,6,9,78,99,Dropout
8,91,No,4,6,86,61,Graduate
2,72,Yes,9,1,48,82,Graduate
2,49,No,4,8,24,57,Dropout
3,56,No,9,6,39,79,Graduate
3,88,No,8,6,71,86,Graduate
1,88,No,5,0,60,80,Dropout
3,75,No,4,8,54,86,Graduate
6,56,No,4,9,45,78,Graduate
8,57,No,8,8,51,59,Dropout
6,91,Yes,4,1,78,52,Graduate
5,62,No,6,9,48,84,Graduate
4,73,Yes,8,8,59,40,Graduate
3,47,Yes,4,1,28,91,Dropout
4,52,No,4,1,35,43,Graduate
7,62,Yes,4,7,55,63,Graduate
1,96,No,8,2,69,75,Graduate
7,93,Yes,5,2,87,75,Dropout
1,59,No,7,6,32,84,Graduate
2,61,Yes,9,9,37,41,Graduate
4,86,No,4,5,66,67,Graduate
1,91,No,7,6,66,65,Graduate
9,62,Yes,7,5,56,62,Graduate
6,80,Yes,4,8,70,54,Dropout
1,74,No,4,1,48,75,Graduate
1,42,Yes,9,7,17,66,Dropout
6,73,No,7,5,59,45,Graduate
4,72,Yes,5,3,56,74,Dropout
4,85,No,7,5,66,78,Dropout
6,56,Yes,5,5,41,77,Graduate
7,84,No,6,9,76,74,Graduate
9,58,Yes,5,2,54,75,Dropout
5,69,No,9,7,57,49,Dropout
9,62,Yes,8,4,62,69,Dropout
4,54,No,4,9,38,92,Graduate
2,98,Yes,6,3,73,80,Graduate
3,96,Yes,7,1,72,77,Graduate
1,53,No,5,9,28,68,Dropout
6,41,Yes,6,0,28,91,Graduate
6,78,Yes,8,6,67,98,Graduate
1,88,No,5,9,62,82,Graduate
3,57,No,9,2,36,78,Graduate
5,45,No,7,2,33,89,Graduate
3,98,No,7,2,74,43,Graduate
3,71,Yes,5,9,52,44,Dropout
3,60,Yes,8,2,38,43,Graduate
5,79,Yes,4,1,62,75,Graduate
5,67,No,4,5,50,98,Graduate
4,66,Yes,7,9,48,84,Dropout
1,41,Yes,8,2,15,55,Graduate
5,72,No,7,0,51,64,Dropout
5,55,Yes,4,9,37,53,Dropout
4,78,Yes,7,8,59,50,Dropout
6,61,No,5,5,46,68,Dropout
4,95,Yes,9,5,78,73,Dropout
7,82,No,5,9,74,61,Dropout
7,86,No,9,8,78,53,Dropout
2,52,Yes,8,1,27,95,Graduate
3,95,Yes,4,9,74,63,Dropout
1,41,Yes,8,8,15,98,Graduate
8,53,No,8,2,46,78,Graduate
9,95,No,4,2,90,65,Dropout
4,77,Yes,6,2,58,82,Dropout
6,80,Yes,6,0,65,75,Dropout
9,67,No,7,9,65,78,Graduate
6,46,Yes,6,6,36,55,Graduate
9,57,Yes,5,9,52,97,Dropout
4,95,No,9,6,79,77,Dropout
8,80,Yes,8,1,74,98,Dropout
9,94,Yes,7,5,93,71,Dropout
4,75,Yes,8,3,57,45,Dropout
5,80,Yes,4,6,65,73,Graduate
8,75,No,6,6,69,95,Dropout
6,83,No,4,3,71,47,Dropout
7,43,No,7,2,31,69,Dropout
3,96,No,9,6,78,66,Dropout
7,69,Yes,5,8,60,46,Graduate
8,63,Yes,6,3,58,66,Graduate
6,59,Yes,4,5,46,64,Graduate
9,85,Yes,9,6,87,95,Dropout
6,95,No,6,9,81,85,Graduate
9,70,Yes,8,2,69,80,Graduate
4,63,Yes,5,4,46,54,Dropout
8,46,No,9,0,41,64,Graduate
4,65,No,6,5,50,61,Graduate
2,52,No,5,4,24,57,Dropout
9,93,Yes,9,6,97,51,Graduate
5,47,No,8,8,35,62,Graduate
4,94,Yes,8,3,82,90,Graduate
2,44,Yes,4,8,24,84,Dropout
1,83,No,7,5,59,78,Dropout
7,52,No,4,4,42,64,Graduate
6,68,No,5,1,56,49,Dropout
2,59,Yes,4,0,30,69,Graduate
8,53,Yes,9,7,49,49,Dropout
4,71,Yes,6,5,56,73,Graduate
8,99,No,9,6,98,85,Dropout
7,89,Yes,4,5,79,52,Graduate
5,66,Yes,7,9,54,93,Graduate
8,95,Yes,9,6,93,68,Dropout
9,64,Yes,9,8,63,77,Graduate
5,91,No,9,4,76,80,Graduate
5,43,Yes,7,0,27,84,Graduate
2,60,No,9,0,35,48,Graduate
5,57,No,5,8,39,52,Dropout
3,78,Yes,8,4,59,76,Graduate
7,54,Yes,7,1,50,53,Dropout
5,92,No,5,2,77,76,Dropout
8,77,Yes,7,0,70,48,Dropout
1,87,No,7,5,62,47,Graduate
3,91,Yes,8,5,71,78,Graduate
3,63,Yes,6,2,39,79,Graduate
9,47,No,5,2,41,93,Dropout
5,67,Yes,7,6,51,42,Graduate
9,60,No,7,0,52,94,Graduate
9,55,No,4,4,49,95,Dropout
1,99,Yes,9,2,76,86,Dropout
2,93,No,6,4,71,79,Dropout
5,55,Yes,8,3,42,72,Dropout
4,74,Yes,5,5,60,71,Graduate
9,56,Yes,7,8,53,46,Dropout
7,48,No,9,1,40,58,Graduate
6,96,Yes,5,9,85,73,Dropout
7,74,Yes,8,7,70,53,Graduate
1,91,No,6,1,63,89,Graduate
1,68,No,4,3,42,86,Dropout
8,78,No,6,8,73,85,Graduate
2,57,No,4,3,35,95,Dropout
9,51,Yes,5,6,48,96,Graduate
7,58,Yes,6,4,49,58,Dropout
6,87,Yes,6,1,75,90,Dropout
1,61,Yes,6,7,35,93,Dropout
1,98,No,8,9,70,98,Graduate
2,95,No,5,9,71,65,Dropout
6,88,Yes,4,1,74,56,Graduate
6,91,No,6,2,77,93,Graduate
2,54,No,5,9,30,67,Dropout
1,40,No,9,6,13,58,Dropout
5,41,No,8,4,26,66,Dropout
5,47,No,8,9,35,87,Graduate
2,61,Yes,9,2,40,91,Dropout
6,64,Yes,5,1,55,96,Graduate
9,41,No,4,5,37,58,Graduate
2,90,No,5,9,64,72,Graduate
2,48,Yes,5,0,23,90,Graduate
3,48,Yes,7,7,27,46,Graduate
7,52,No,8,4,42,68,Graduate
6,45,No,4,4,34,94,Graduate
8,69,No,7,1,63,82,Dropout
8,54,Yes,9,6,50,44,Graduate
6,90,No,5,4,75,69,Graduate
3,92,No,9,7,74,88,Graduate
3,54,No,8,4,39,82,Graduate
1,89,No,7,8,63,95,Graduate
7,46,No,7,4,36,97,Dropout
5,97,No,4,2,84,47,Graduate
4,50,No,5,1,30,81,Graduate
4,79,No,4,4,60,51,Dropout
4,77,Yes,7,9,61,81,Graduate
6,79,Yes,7,9,70,52,Dropout
8,41,Yes,4,4,32,65,Graduate
8,90,No,7,5,87,57,Dropout
5,87,Yes,6,1,72,81,Graduate
6,78,Yes,8,4,68,90,Graduate
4,49,Yes,5,0,29,91,Graduate
9,83,Yes,8,2,78,88,Graduate
8,56,Yes,5,2,45,59,Graduate
1,46,No,7,2,20,55,Graduate
2,93,Yes,4,2,66,76,Graduate
9,79,No,4,7,77,42,Dropout
8,78,No,7,0,72,66,Graduate
3,43,Yes,5,5,26,54,Graduate
8,74,No,7,5,67,97,Graduate
1,90,Yes,5,0,67,73,Graduate
4,86,No,7,0,68,84,Graduate
3,75,No,7,2,56,61,Dropout
6,70,Yes,7,7,61,79,Graduate
7,64,No,4,5,50,62,Dropout
4,80,No,5,3,68,98,Dropout
7,52,No,9,4,47,88,Graduate
9,57,No,7,9,56,43,Graduate
2,60,No,8,2,40,90,Graduate
3,87,No,8,5,68,93,Dropout
5,40,No,4,5,26,96,Graduate
3,75,No,6,5,55,80,Graduate
8,89,Yes,9,8,84,62,Graduate
8,47,No,4,9,40,86,Graduate
8,91,Yes,6,7,85,99,Graduate
9,87,Yes,4,5,85,48,Dropout
4,60,No,8,1,40,63,Dropout
5,82,No,7,3,68,60,Dropout
5,91,Yes,5,5,74,80,Dropout
8,92,Yes,7,8,90,85,Graduate
7,92,Yes,8,1,82,94,Dropout
9,60,No,5,5,57,92,Graduate
8,66,No,6,9,61,55,Graduate
2,58,No,6,9,38,95,Dropout
4,62,Yes,8,9,46,94,Graduate
6,90,No,5,6,80,64,Graduate
2,89,No,7,7,67,65,Graduate
7,90,No,8,8,84,88,Dropout
3,82,No,6,4,58,84,Graduate
3,74,Yes,8,8,55,48,Dropout
2,79,No,7,8,57,54,Graduate
8,91,No,4,6,87,78,Dropout
6,90,Yes,9,1,80,72,Graduate
1,81,No,9,7,54,40,Graduate
1,87,Yes,9,4,64,44,Dropout
7,44,Yes,4,7,33,95,Dropout
8,91,No,7,1,83,48,Dropout
5,80,Yes,5,6,66,83,Dropout
5,47,No,8,4,33,45,Dropout
4,50,Yes,7,3,31,67,Graduate
6,55,Yes,4,9,40,84,Graduate
6,78,No,6,5,66,65,Graduate
3,86,Yes,9,4,67,67,Dropout
9,63,No,9,5,64,79,Dropout
7,60,No,7,8,52,54,Graduate
1,91,No,9,0,68,45,Graduate
7,62,No,9,0,58,66,Graduate
5,88,Yes,7,5,72,77,Dropout
5,77,No,7,1,65,43,Dropout
2,86,Yes,4,7,65,50,Graduate
4,47,No,4,6,24,60,Dropout
6,46,Yes,9,5,35,69,Dropout
7,41,Yes,7,3,34,57,Dropout
5,69,Yes,7,8,57,74,Dropout
9,52,Yes,9,6,54,42,Graduate
3,62,No,5,6,42,51,Dropout
1,68,No,6,4,39,66,Dropout
4,77,Yes,8,0,62,92,Graduate
9,76,Yes,8,1,71,69,Graduate
4,59,No,9,7,42,60,Dropout
2,72,Yes,8,4,52,77,Graduate
5,68,Yes,4,1,54,60,Graduate
3,89,No,4,4,68,99,Graduate
9,54,Yes,5,7,50,77,Graduate
4,62,Yes,9,3,46,79,Dropout
6,81,No,4,2,68,54,Dropout
2,42,Yes,9,4,19,57,Dropout
6,76,No,9,6,68,91,Dropout
3,95,No,7,1,74,68,Graduate
9,68,No,6,0,63,87,Dropout
2,84,No,6,4,60,77,Graduate
9,47,Yes,9,6,47,99,Dropout
5,61,No,6,7,47,60,Graduate
8,92,No,6,7,87,56,Dropout
2,68,Yes,8,9,45,80,Graduate
6,41,No,8,8,31,90,Dropout
3,80,Yes,7,0,61,57,Dropout
5,88,No,5,6,73,96,Graduate
8,98,No,4,9,92,94,Dropout
1,89,No,4,7,65,76,Graduate
5,84,No,8,5,69,99,Graduate
3,40,Yes,9,9,20,77,Dropout
4,83,Yes,6,3,66,51,Graduate
2,59,Yes,7,6,38,50,Graduate
9,91,No,5,2,81,87,Graduate
3,60,No,8,1,39,91,Dropout
2,76,No,9,5,53,88,Graduate
9,47,Yes,7,1,44,59,Dropout
7,66,No,9,5,58,48,Dropout
6,86,Yes,7,9,79,40,Dropout
1,98,Yes,8,2,75,97,Dropout
5,74,Yes,7,1,59,42,Dropout
3,45,No,6,7,23,60,Dropout
1,99,No,7,3,74,62,Graduate
4,84,No,5,3,65,48,Graduate
2,83,No,7,6,60,93,Dropout
2,58,Yes,4,7,32,58,Dropout
3,57,Yes,7,8,38,84,Graduate
8,95,No,9,9,91,94,Dropout
8,40,No,8,7,34,85,Dropout
7,64,No,4,3,46,91,Dropout
6,66,Yes,8,1,55,58,Graduate
9,46,No,9,9,43,62,Dropout
4,83,Yes,5,4,67,66,Graduate
1,81,Yes,6,6,56,66,Graduate
8,68,Yes,5,1,58,78,Graduate
7,70,Yes,4,3,60,75,Dropout
7,83,Yes,9,5,77,51,Graduate
3,82,Yes,9,7,69,94,Graduate
4,75,Yes,6,9,60,66,Graduate
9,58,No,7,5,52,85,Graduate
6,45,No,4,5,36,73,Graduate
5,64,No,6,5,49,72,Dropout
3,70,Yes,8,3,50,67,Dropout
9,48,Yes,6,2,48,70,Dropout
5,59,No,8,0,43,71,Graduate
5,49,Yes,8,1,34,89,Graduate
4,76,Yes,9,1,57,59,Graduate
4,66,Yes,6,9,50,79,Graduate
1,52,Yes,9,6,28,74,Dropout
7,80,Yes,9,5,72,70,Graduate
9,41,Yes,5,7,38,97,Graduate
3,89,Yes,5,8,68,70,Graduate
2,60,Yes,9,4,41,77,Graduate
3,72,Yes,9,2,53,61,Graduate
1,63,Yes,8,3,36,84,Dropout
6,92,Yes,9,7,80,80,Dropout
7,83,Yes,4,2,73,48,Graduate
2,81,No,6,1,59,91,Graduate
8,73,Yes,4,6,67,48,Graduate
6,99,Yes,5,3,91,54,Graduate
4,48,No,4,7,34,52,Dropout
5,41,No,7,0,23,61,Graduate
8,94,No,7,7,86,55,Graduate
3,95,Yes,5,4,73,71,Graduate
3,69,Yes,4,1,49,41,Graduate
4,61,No,6,0,43,65,Graduate
1,85,No,5,5,61,53,Dropout
9,50,No,7,8,45,98,Graduate
8,94,Yes,5,8,85,77,Graduate
8,82,Yes,4,8,75,73,Graduate
6,56,No,4,3,44,47,Dropout
7,75,Yes,4,5,66,75,Graduate
6,52,Yes,8,9,45,60,Graduate
9,46,No,4,5,40,95,Graduate
3,55,No,9,4,38,85,Graduate
3,72,No,7,1,50,82,Graduate
3,84,Yes,7,6,67,95,Graduate
3,40,Yes,8,0,21,67,Graduate
9,50,Yes,7,5,51,85,Graduate
4,45,Yes,7,4,25,83,Dropout
7,59,Yes,5,4,53,87,Dropout
9,74,No,4,7,71,45,Graduate
7,83,Yes,9,8,77,59,Dropout
9,76,Yes,9,6,75,70,Graduate
3,80,No,5,9,60,72,Graduate
4,65,No,9,7,49,83,Graduate
8,97,No,5,1,87,46,Graduate
6,51,No,9,1,40,47,Graduate
5,69,Yes,7,7,56,48,Graduate
4,67,Yes,6,5,49,41,Graduate
8,66,No,4,7,59,56,Graduate
1,81,Yes,6,8,59,91,Graduate
9,58,No,7,8,54,84,Graduate
1,44,Yes,8,5,17,76,Graduate
8,97,Yes,5,7,90,81,Graduate
4,44,Yes,9,1,23,83,Graduate
9,80,No,9,7,82,56,Dropout
5,66,No,7,2,49,92,Dropout
3,67,Yes,9,0,50,77,Graduate
9,65,Yes,7,6,60,74,Dropout
9,66,No,6,0,60,99,Graduate
4,91,No,8,0,74,86,Graduate
4,88,Yes,5,0,71,78,Graduate
8,81,Yes,9,3,77,69,Graduate
2,60,No,8,3,34,45,Graduate
9,40,Yes,8,9,39,43,Dropout
6,93,No,8,5,85,90,Graduate
9,67,No,4,9,64,76,Graduate
8,87,Yes,8,2,87,74,Graduate
7,97,Yes,7,9,91,97,Dropout
1,97,Yes,4,5,73,96,Graduate
3,54,No,4,6,34,48,Graduate
2,94,No,8,0,70,45,Graduate
5,56,No,9,5,42,52,Graduate
5,65,Yes,9,9,55,98,Graduate
5,59,Yes,9,0,45,61,Dropout
4,64,No,9,6,49,67,Graduate
5,52,No,7,9,37,69,Graduate
3,72,Yes,9,4,55,91,Dropout
1,64,No,5,9,38,75,Graduate
5,47,Yes,8,3,35,41,Graduate
9,44,Yes,4,0,41,97,Graduate
9,45,No,5,8,43,75,Graduate
4,62,No,9,6,46,47,Graduate
3,91,No,5,1,69,84,Graduate
1,69,No,4,3,37,81,Graduate
2,53,No,9,3,31,89,Graduate
8,93,Yes,5,7,90,48,Graduate
1,62,No,7,1,33,40,Graduate
8,50,Yes,7,4,44,52,Graduate
7,70,No,8,9,62,89,Graduate
8,45,No,8,7,41,54,Graduate
6,50,No,5,5,38,71,Dropout
9,52,No,4,3,45,73,Dropout
3,51,No,7,4,34,82,Graduate
4,93,No,6,1,72,70,Graduate
6,41,Yes,8,4,29,53,Graduate
8,92,No,7,2,83,93,Dropout
5,74,No,9,2,61,86,Graduate
